AA_count_genomic	AA_count_sample	AA_coverage	AA_percent_genomic	AA_percent_sample	AC_count_genomic	AC_count_sample	AC_coverage	AC_percent_genomic	AC_percent_sample	AG_count_genomic	AG_count_sample	AG_coverage	AG_percent_genomic	AG_percent_sample	AT_count_genomic	AT_count_sample	AT_coverage	AT_percent_genomic	AT_percent_sample	A_count_genomic	A_count_sample	A_coverage	A_percent_genomic	A_percent_sample	CA_count_genomic	CA_count_sample	CA_coverage	CA_percent_genomic	CA_percent_sample	CC_count_genomic	CC_count_sample	CC_coverage	CC_percent_genomic	CC_percent_sample	CG_count_genomic	CG_count_sample	CG_coverage	CG_percent_genomic	CG_percent_sample	CT_count_genomic	CT_count_sample	CT_coverage	CT_percent_genomic	CT_percent_sample	C_count_genomic	C_count_sample	C_coverage	C_percent_genomic	C_percent_sample	GA_count_genomic	GA_count_sample	GA_coverage	GA_percent_genomic	GA_percent_sample	GC_count_genomic	GC_count_sample	GC_coverage	GC_percent_genomic	GC_percent_sample	GG_count_genomic	GG_count_sample	GG_coverage	GG_percent_genomic	GG_percent_sample	GT_count_genomic	GT_count_sample	GT_coverage	GT_percent_genomic	GT_percent_sample	G_count_genomic	G_count_sample	G_coverage	G_percent_genomic	G_percent_sample	Sample	TA_count_genomic	TA_count_sample	TA_coverage	TA_percent_genomic	TA_percent_sample	TC_count_genomic	TC_count_sample	TC_coverage	TC_percent_genomic	TC_percent_sample	TG_count_genomic	TG_count_sample	TG_coverage	TG_percent_genomic	TG_percent_sample	TT_count_genomic	TT_count_sample	TT_coverage	TT_percent_genomic	TT_percent_sample	T_count_genomic	T_count_sample	T_coverage	T_percent_genomic	T_percent_sample
43051_45068_EO2_NC8_N5_1_val_1	135	0.000	9.77	9.74	147939219	65	0.000	5.04	4.69	206977301	44	0.000	7.05	3.17	223651834	98	0.000	7.62	7.07	865528370	346	0.000	29.47	24.66	211544317	94	0.000	7.20	6.78	151981070	76	0.000	5.17	5.48	31051443	19	0.000	1.06	1.37	207116790	162	0.000	7.05	11.69	601694290	356	0.000	20.49	25.37	177542656	33	0.000	6.05	2.38	124185722	37	0.000	4.23	2.67	152117662	35	0.000	5.18	2.53	148469303	55	0.000	5.06	3.97	602315979	161	0.000	20.51	11.48		189481464	77	0.000	6.45	5.56	177587595	173	0.000	6.05	12.48	212168899	62	0.000	7.22	4.47	288115228	221	0.000	9.81	15.95	867354086	540	0.000	29.53	38.49
43051_45068_EO3_NC8_O5_1_val_1	142370	0.000	9.77	8.43	147939219	113672	0.001	5.04	6.73	206977301	86622	0.000	7.05	5.13	223651834	123355	0.001	7.62	7.31	865528370	470419	0.001	29.47	27.62	211544317	133302	0.001	7.20	7.90	151981070	140734	0.001	5.17	8.34	31051443	27762	0.001	1.06	1.64	207116790	154355	0.001	7.05	9.14	601694290	460043	0.001	20.49	27.01	177542656	72925	0.000	6.05	4.32	124185722	65753	0.001	4.23	3.89	152117662	64467	0.000	5.18	3.82	148469303	61810	0.000	5.06	3.66	602315979	267247	0.000	20.51	15.69		189481464	117680	0.001	6.45	6.97	177587595	135270	0.001	6.05	8.01	212168899	87210	0.000	7.22	5.17	288115228	160863	0.001	9.81	9.53	867354086	505585	0.001	29.53	29.68
44218_44676_PO1_NC4_M6_1_val_1	198140	0.001	9.77	9.34	147939219	175945	0.001	5.04	8.29	206977301	100727	0.000	7.05	4.75	223651834	165221	0.001	7.62	7.79	865528370	645594	0.001	29.47	30.18	211544317	182397	0.001	7.20	8.60	151981070	185634	0.001	5.17	8.75	31051443	49184	0.002	1.06	2.32	207116790	181370	0.001	7.05	8.55	601694290	603635	0.001	20.49	28.22	177542656	83398	0.000	6.05	3.93	124185722	85398	0.001	4.23	4.03	152117662	77668	0.001	5.18	3.66	148469303	68415	0.000	5.06	3.23	602315979	317619	0.001	20.51	14.85		189481464	175883	0.001	6.45	8.29	177587595	150828	0.001	6.05	7.11	212168899	88582	0.000	7.22	4.18	288115228	152309	0.001	9.81	7.18	867354086	572496	0.001	29.53	26.76
44218_44676_SO1_NC1_J6_1_val_1	61991	0.000	9.77	7.36	147939219	45104	0.000	5.04	5.36	206977301	47459	0.000	7.05	5.64	223651834	58027	0.000	7.62	6.89	865528370	214632	0.000	29.47	25.26	211544317	62530	0.000	7.20	7.43	151981070	65934	0.000	5.17	7.83	31051443	10148	0.000	1.06	1.21	207116790	78123	0.000	7.05	9.28	601694290	218659	0.000	20.49	25.74	177542656	38909	0.000	6.05	4.62	124185722	33584	0.000	4.23	3.99	152117662	37905	0.000	5.18	4.50	148469303	36259	0.000	5.06	4.31	602315979	148076	0.000	20.51	17.43		189481464	49372	0.000	6.45	5.87	177587595	71616	0.000	6.05	8.51	212168899	51916	0.000	7.22	6.17	288115228	92903	0.000	9.81	11.04	867354086	268287	0.000	29.53	31.58
44218_44676_SO2_NC1_K6_1_val_1	151691	0.001	9.77	8.71	147939219	127260	0.001	5.04	7.31	206977301	89021	0.000	7.05	5.11	223651834	129787	0.001	7.62	7.45	865528370	502261	0.001	29.47	28.59	211544317	142752	0.001	7.20	8.20	151981070	146651	0.001	5.17	8.42	31051443	33471	0.001	1.06	1.92	207116790	152659	0.001	7.05	8.77	601694290	479632	0.001	20.49	27.30	177542656	73819	0.000	6.05	4.24	124185722	69234	0.001	4.23	3.98	152117662	68925	0.000	5.18	3.96	148469303	62961	0.000	5.06	3.62	602315979	277354	0.000	20.51	15.79		189481464	129556	0.001	6.45	7.44	177587595	131725	0.001	6.05	7.56	212168899	84667	0.000	7.22	4.86	288115228	147342	0.001	9.81	8.46	867354086	497662	0.001	29.53	28.33
44218_44676_SO3_NC1_L6_1_val_1	95368	0.000	9.77	6.82	147939219	69384	0.000	5.04	4.96	206977301	84221	0.000	7.05	6.02	223651834	95053	0.000	7.62	6.80	865528370	347368	0.000	29.47	24.61	211544317	99805	0.000	7.20	7.14	151981070	99947	0.001	5.17	7.15	31051443	15466	0.000	1.06	1.11	207116790	126973	0.001	7.05	9.08	601694290	345197	0.001	20.49	24.45	177542656	69377	0.000	6.05	4.96	124185722	58508	0.000	4.23	4.18	152117662	67781	0.000	5.18	4.85	148469303	67117	0.000	5.06	4.80	602315979	265375	0.000	20.51	18.80		189481464	80163	0.000	6.45	5.73	177587595	113277	0.001	6.05	8.10	212168899	96898	0.000	7.22	6.93	288115228	159194	0.001	9.81	11.38	867354086	453826	0.001	29.53	32.15
44564_44991_PO1_NC3_H6_1_val_1	589639	0.002	9.77	7.45	147939219	450900	0.003	5.04	5.70	206977301	461000	0.002	7.05	5.82	223651834	566358	0.003	7.62	7.16	865528370	2086017	0.002	29.47	26.13	211544317	597800	0.003	7.20	7.55	151981070	582209	0.004	5.17	7.36	31051443	105636	0.003	1.06	1.33	207116790	689857	0.003	7.05	8.72	601694290	1991940	0.003	20.49	24.95	177542656	383298	0.002	6.05	4.84	124185722	325402	0.003	4.23	4.11	152117662	358442	0.002	5.18	4.53	148469303	359045	0.002	5.06	4.54	602315979	1439516	0.002	20.51	18.03		189481464	498795	0.003	6.45	6.30	177587595	612442	0.003	6.05	7.74	212168899	508311	0.002	7.22	6.42	288115228	825126	0.003	9.81	10.43	867354086	2466605	0.003	29.53	30.89
44564_44991_SO1_NC1_E6_1_val_1	101375	0.000	9.77	9.40	147939219	89417	0.001	5.04	8.29	206977301	48380	0.000	7.05	4.49	223651834	82854	0.000	7.62	7.69	865528370	324713	0.000	29.47	29.87	211544317	96503	0.000	7.20	8.95	151981070	100266	0.001	5.17	9.30	31051443	19885	0.001	1.06	1.84	207116790	97970	0.000	7.05	9.09	601694290	317267	0.001	20.49	29.18	177542656	42066	0.000	6.05	3.90	124185722	40332	0.000	4.23	3.74	152117662	31402	0.000	5.18	2.91	148469303	31195	0.000	5.06	2.89	602315979	146302	0.000	20.51	13.46		189481464	82212	0.000	6.45	7.63	177587595	84065	0.000	6.05	7.80	212168899	45962	0.000	7.22	4.26	288115228	84126	0.000	9.81	7.80	867354086	298928	0.000	29.53	27.49
44564_44991_SO2_NC1_F6_1_val_1	164167	0.001	9.77	8.49	147939219	139688	0.001	5.04	7.22	206977301	101036	0.000	7.05	5.22	223651834	141826	0.001	7.62	7.33	865528370	551431	0.001	29.47	28.27	211544317	162690	0.001	7.20	8.41	151981070	160402	0.001	5.17	8.29	31051443	34092	0.001	1.06	1.76	207116790	170888	0.001	7.05	8.84	601694290	532402	0.001	20.49	27.29	177542656	83037	0.000	6.05	4.29	124185722	80205	0.001	4.23	4.15	152117662	75659	0.000	5.18	3.91	148469303	70786	0.000	5.06	3.66	602315979	312490	0.001	20.51	16.02		189481464	137077	0.001	6.45	7.09	177587595	146745	0.001	6.05	7.59	212168899	100300	0.000	7.22	5.19	288115228	165488	0.001	9.81	8.56	867354086	554453	0.001	29.53	28.42
44564_44991_SO3_NC1_G6_1_val_1	24153	0.000	9.77	9.98	147939219	21825	0.000	5.04	9.02	206977301	9923	0.000	7.05	4.10	223651834	18806	0.000	7.62	7.77	865528370	75405	0.000	29.47	30.88	211544317	22433	0.000	7.20	9.27	151981070	23766	0.000	5.17	9.82	31051443	5260	0.000	1.06	2.17	207116790	22598	0.000	7.05	9.34	601694290	74662	0.000	20.49	30.58	177542656	8407	0.000	6.05	3.47	124185722	9261	0.000	4.23	3.83	152117662	6630	0.000	5.18	2.74	148469303	5477	0.000	5.06	2.26	602315979	30048	0.000	20.51	12.31		189481464	19750	0.000	6.45	8.16	177587595	19022	0.000	6.05	7.86	212168899	8089	0.000	7.22	3.34	288115228	16641	0.000	9.81	6.88	867354086	64062	0.000	29.53	26.24
