Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
38897_44643_SO1_NC1_A1_1_val_1	89.0	174.5	366.0	816.5	1715.0	3308.0	6195.0	11079.0	18784.0	30145.5	46055.0	67182.0	92889.0	122395.0	151305.5	176843.5	201601.5	226193.5	251560.0	272313.5	279405.5	272474.0	256924.0	237897.0	218625.5	201130.5	184419.0	167266.0	149617.5	132659.0	117336.0	103602.0	91474.5	80358.5	70101.5	60835.5	52387.0	44881.5	38508.5	32600.5	27242.5	22922.5	19228.5	16020.5	13510.5	11392.5	9491.0	7785.5	6385.5	5300.5	4347.0	3468.0	2751.5	2191.5	1718.0	1361.0	1109.0	953.0	820.5	693.5	594.5	516.0	482.5	444.0	387.0	359.5	334.5	290.5	270.0	260.5	222.5	192.0	171.5	154.5	153.0	137.0	123.0	107.5	95.0	86.0	81.5	84.0	70.5	58.5	57.5	53.0	47.5	38.5	35.0	36.0	33.5	26.5	20.5	18.5	15.5	14.0	12.5	9.0	6.0	3.5	2.0
38897_44643_SO1_NC1_A1_2_val_2	346.0	539.5	947.5	1621.0	3113.5	5777.0	10205.5	17494.0	28193.5	43114.5	62373.0	85614.0	112324.0	140539.5	167734.5	192038.0	214396.5	236549.0	257625.5	273042.5	277622.5	271861.5	258023.0	238727.5	218172.0	198979.0	181695.5	165045.5	147328.5	129617.0	113925.5	100624.5	88495.5	77367.0	67335.0	58171.0	50163.0	43018.5	36977.0	31465.0	26531.0	22407.5	18918.5	15931.0	13473.5	11336.0	9430.5	7838.0	6485.0	5594.0	4924.5	4219.5	3342.0	2167.5	1344.0	1008.5	799.5	644.5	489.5	376.5	291.0	224.5	175.5	142.0	125.0	108.5	82.0	59.5	55.0	47.5	35.5	30.0	29.5	29.0	25.0	16.0	10.0	9.5	6.0	5.5	5.5	3.5	2.5	1.0	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.5	1.5	2.0	1.5	0.5	0.5	0.5	0.0	0.0	0.0
38897_44643_SO2_NC1_B1_1_val_1	88.0	87.5	111.0	225.5	506.5	1053.5	2150.5	4013.5	7041.0	11906.0	18909.0	28524.5	41164.5	56208.5	71594.5	86149.5	100160.0	114476.5	130313.0	145461.5	153092.0	151770.5	145716.0	137153.5	126970.5	117377.0	108331.5	98867.5	88919.5	79206.0	70374.0	62405.5	55413.5	49003.5	43303.0	37569.5	32213.5	27911.5	24186.0	20815.5	17795.0	14931.5	12572.0	10628.5	9002.5	7658.0	6454.0	5323.0	4334.0	3494.0	2798.0	2208.5	1728.5	1361.5	1076.5	843.0	640.5	507.5	434.0	370.0	309.0	296.5	271.0	237.0	229.5	210.0	166.5	143.0	135.5	119.0	105.5	87.0	83.5	85.0	76.0	73.5	73.5	67.0	60.0	59.5	59.0	49.0	38.5	36.5	35.5	28.0	21.5	23.5	24.5	21.5	20.0	16.0	11.0	11.0	11.0	7.0	3.5	2.5	2.5	1.0	0.0
38897_44643_SO2_NC1_B1_2_val_2	171.0	203.0	368.5	653.0	1222.0	2371.5	4327.5	7740.5	13232.0	20716.5	30272.5	42242.0	55884.0	71319.0	86538.5	99704.0	112264.0	124079.5	136219.0	146841.0	152016.0	150495.5	143486.5	133065.5	121253.5	110873.0	101685.0	92463.0	82876.0	73294.5	64501.0	56952.5	50438.5	44407.0	38877.0	33924.5	29557.0	25505.0	21887.0	18863.5	16186.5	13699.0	11638.5	10078.5	8587.5	7337.0	6191.0	5128.0	4328.5	3639.5	3130.0	2711.0	2165.5	1360.0	766.0	560.5	443.0	345.5	261.0	205.0	145.5	97.0	75.5	59.0	45.5	41.5	30.0	15.5	13.5	15.5	13.5	11.0	10.0	7.0	3.5	1.5	1.0	2.0	2.0	2.0	2.0	1.0	0.5	0.0	0.0	0.5	1.0	1.0	1.0	1.0	0.5	0.0	0.5	1.0	0.5	0.0	0.0	0.0	0.5	1.5	2.5
38897_44643_SO3_NC1_C2_1_val_1	410.0	395.0	501.0	1072.5	2443.0	4849.0	9156.5	16824.0	29111.5	47716.5	74650.5	110962.5	158683.5	215463.5	268977.0	315964.5	360893.0	406807.5	459719.5	508162.5	529476.5	520589.5	493254.0	458383.0	423640.5	392075.5	360090.5	326266.0	291291.5	256522.0	225722.0	199225.5	175581.5	153890.5	134520.5	116917.5	100938.5	86366.5	73443.5	62597.5	52718.5	43911.0	36351.5	30123.5	25034.5	20741.5	17144.5	14152.5	11745.5	9632.0	7746.5	6181.0	4916.0	3769.0	2904.0	2290.5	1787.5	1443.0	1248.5	1097.5	907.0	785.0	718.5	643.0	572.0	532.0	487.5	433.5	380.0	343.0	307.0	271.0	247.0	224.5	212.5	207.5	202.5	180.0	164.5	155.0	133.5	111.0	96.5	91.0	80.0	67.0	63.5	63.0	59.0	46.5	36.0	36.5	33.5	28.0	27.0	22.5	14.5	11.5	7.0	4.0	6.0
38897_44643_SO3_NC1_C2_2_val_2	848.0	917.5	1350.0	2385.0	4462.5	8278.0	15352.0	27122.5	44956.0	70657.0	104038.5	144090.5	191621.0	244869.0	295712.0	340560.5	383420.0	425493.5	470441.5	511677.0	531648.5	525793.0	499834.0	459906.0	416230.0	378846.5	346304.0	314213.5	279915.5	244991.0	214155.5	187436.0	163901.5	144036.5	125689.5	108042.0	92415.5	79038.5	67477.5	57163.0	48218.0	40822.5	34363.0	28680.5	24025.5	20013.0	16605.5	13689.5	11257.5	9588.0	8510.0	7664.5	6117.5	3588.0	1935.0	1396.0	1004.0	741.0	559.0	424.5	336.5	275.0	223.0	172.0	124.0	103.5	83.5	60.5	46.5	39.5	32.5	28.5	23.5	18.0	11.5	11.5	12.0	7.5	4.0	1.5	1.5	2.5	2.0	1.0	2.0	2.5	1.5	1.5	1.0	0.0	0.5	0.5	0.0	0.0	0.0	0.5	1.0	0.5	0.0	0.5	1.5
38897_44700_PO1_NC5_D1_1_val_1	304.0	391.5	668.0	1688.5	4064.0	8265.0	16072.5	27944.0	45232.5	70634.5	104788.0	148637.5	203662.5	267253.5	330609.0	389913.5	447256.5	507538.5	575730.0	635498.0	656098.5	636954.5	597666.5	551029.5	504630.5	461630.5	423447.5	388197.5	351761.0	314320.0	281001.0	252075.0	226464.5	203253.0	181204.0	161427.0	144606.5	129370.0	115304.0	102554.0	90364.0	78699.0	68706.0	60237.0	52223.0	44644.5	37664.0	31308.0	25351.0	19812.5	14980.0	11243.0	8564.0	6559.0	4931.0	3688.0	2760.0	2129.0	1762.5	1580.5	1395.5	1206.0	1056.5	954.0	869.5	787.5	673.0	574.0	540.5	506.0	461.5	401.0	364.0	323.0	277.0	264.0	238.0	210.0	186.5	166.5	153.5	130.0	114.5	104.0	87.0	74.5	75.5	71.0	54.5	47.0	43.0	41.0	32.0	15.5	12.0	13.0	9.5	6.5	5.5	4.5	3.0
38897_44700_PO1_NC5_D1_2_val_2	831.0	1011.5	2065.0	3991.5	7454.5	13236.5	23124.5	39121.5	62317.5	95497.5	137226.0	186323.5	243184.0	305689.0	364643.5	416881.5	468590.0	519434.5	572787.5	620304.5	643921.0	637266.0	606641.0	559159.0	505363.5	459698.0	421925.5	384915.5	345571.5	306080.5	271542.0	242297.5	217076.5	194603.5	173316.5	154124.0	137052.0	122429.0	109080.5	97119.0	86126.0	75882.0	67009.5	58894.0	51665.0	44819.0	38232.5	32256.0	26731.5	21979.0	18264.0	15050.0	11525.5	7235.5	4120.0	2793.0	1904.5	1329.5	940.0	722.5	582.5	452.0	369.5	298.0	232.0	181.5	136.5	117.0	100.0	74.5	59.5	54.0	46.5	39.5	35.0	33.0	24.0	15.0	8.0	5.0	5.5	5.0	5.5	5.0	4.5	3.5	2.0	1.0	1.0	0.5	0.0	0.0	0.5	1.0	1.0	1.0	1.5	2.0	1.0	0.5	1.0
38897_44700_SO1_NC1_E1_1_val_1	98.0	148.0	282.0	629.5	1314.5	2604.0	5105.0	9467.0	16513.5	26975.5	41427.0	60484.0	84394.5	112328.0	139450.0	164724.5	189335.5	214753.5	242727.0	265377.0	272764.0	264391.0	246498.5	225077.5	205200.0	187458.0	170342.0	153764.0	137162.5	121118.5	106528.0	93751.0	82569.5	72679.5	64131.0	56352.0	49031.5	42239.0	36468.0	31253.0	26561.0	22671.5	19218.0	16140.0	13705.5	11580.5	9563.5	8013.5	6564.0	5201.5	4093.5	3206.0	2470.5	1984.0	1621.5	1259.5	960.5	776.0	646.5	543.5	472.0	399.0	359.0	341.5	310.5	268.0	232.5	213.0	184.5	166.0	149.5	129.5	125.5	120.5	110.0	92.5	80.5	79.0	75.5	68.5	58.5	51.5	52.5	53.0	43.5	30.0	25.0	24.0	19.5	21.5	20.5	15.5	14.5	18.0	15.5	10.0	8.0	6.0	6.0	5.0	4.0
