Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
42111_44957_SO3_NC1_J4_1_val_1_FR	42111_44957_SO3_NC1_J4_1_val_1	183.0	130.0	69.0	30.0	500.0	199.244191	106.807708	7187.0	FR	31.0	57.0	83.0	107.0	139.0	177.0	223.0	271.0	343.0	455.0	595.0			
42111_45019_EOo_NC8_M4_1_val_1_FR	42111_45019_EOo_NC8_M4_1_val_1	147.5	30.0	76.5	30.0	500.0	165.704371	105.542837	5994.0	FR	29.0	51.0	85.0	121.0	153.0	185.0	203.0	233.0	335.0	461.0	649.0			
42473_44998_PO1_NC2_I4_1_val_1_FR	42473_44998_PO1_NC2_I4_1_val_1	194.0	130.0	64.0	30.0	500.0	210.585982	101.124983	11043.0	FR	27.0	53.0	79.0	107.0	129.0	159.0	199.0	251.0	335.0	433.0	569.0			
42473_44998_SO1_NC1_P4_1_val_1_FR	42473_44998_SO1_NC1_P4_1_val_1	164.5	130.0	60.5	30.0	500.0	186.927586	100.664913	580.0	FR	25.0	49.0	69.0	89.0	121.0	159.0	207.0	243.0	359.0	451.0	573.0			
42473_44998_SO2_NC1_A5_1_val_1_FR	42473_44998_SO2_NC1_A5_1_val_1	197.0	130.0	65.0	30.0	500.0	212.506444	100.78598	7914.0	FR	25.0	51.0	77.0	103.0	131.0	155.0	197.0	259.0	335.0	427.0	565.0			
42473_45061_EO1_NC8_O4_1_val_1_FR	42473_45061_EO1_NC8_O4_1_val_1	162.0	130.0	57.0	30.0	500.0	179.829175	96.114388	4168.0	FR	23.0	45.0	65.0	85.0	115.0	153.0	191.0	229.0	305.0	421.0	607.0			
42651_45042_PO1_NC3_E5_1_val_1_FR	42651_45042_PO1_NC3_E5_1_val_1	199.0	130.0	65.0	30.0	500.0	209.428415	98.503896	16421.0	FR	25.0	49.0	75.0	103.0	131.0	159.0	201.0	259.0	313.0	395.0	543.0			
42651_45042_PO2_NC4_N4_1_val_1_FR	42651_45042_PO2_NC4_N4_1_val_1	153.0	30.0	69.0	30.0	500.0	166.068305	97.617729	10292.0	FR	27.0	47.0	71.0	105.0	139.0	173.0	203.0	221.0	297.0	409.0	585.0			
42651_45042_PO3_NC4_G5_1_val_1_FR	42651_45042_PO3_NC4_G5_1_val_1	207.0	130.0	74.0	30.0	500.0	221.308365	107.452532	13043.0	FR	29.0	59.0	87.0	117.0	149.0	177.0	223.0	287.0	355.0	439.0	555.0			
42651_45042_SO1_NC1_C6_1_val_1_FR	42651_45042_SO1_NC1_C6_1_val_1	201.0	130.0	68.0	30.0	500.0	215.071154	99.819357	5467.0	FR	29.0	55.0	83.0	109.0	137.0	161.0	203.0	257.0	321.0	405.0	555.0			
42651_45042_SO2_NC1_D5_1_val_1_FR	42651_45042_SO2_NC1_D5_1_val_1	221.0	130.0	74.0	30.0	500.0	232.339784	103.782598	4444.0	FR	27.0	55.0	87.0	117.0	149.0	183.0	213.0	271.0	349.0	411.0	521.0			
42651_45042_SO3_NC1_F5_1_val_1_FR	42651_45042_SO3_NC1_F5_1_val_1	207.0	130.0	65.0	30.0	500.0	213.748709	97.643351	34478.0	FR	25.0	49.0	75.0	103.0	131.0	157.0	201.0	261.0	323.0	373.0	525.0			
43028_44664_PO2_NC5_K5_1_val_1_FR	43028_44664_PO2_NC5_K5_1_val_1	171.0	130.0	63.0	30.0	500.0	183.006997	96.68533	36875.0	FR	25.0	49.0	71.0	93.0	127.0	163.0	205.0	245.0	285.0	393.0	575.0			
43028_44664_SO1_NC1_H5_1_val_1_FR	43028_44664_SO1_NC1_H5_1_val_1	187.0	130.0	65.0	30.0	500.0	199.769864	103.33713	11667.0	FR	27.0	53.0	79.0	105.0	131.0	169.0	219.0	271.0	317.0	427.0	575.0			
43028_44664_SO2_NC1_I5_1_val_1_FR	43028_44664_SO2_NC1_I5_1_val_1	199.0	130.0	63.0	30.0	500.0	210.724308	97.4349	14197.0	FR	25.0	49.0	73.0	99.0	127.0	151.0	197.0	253.0	313.0	401.0	549.0			
43028_44664_SO3_NC1_J5_1_val_1_FR	43028_44664_SO3_NC1_J5_1_val_1	185.0	130.0	63.0	30.0	500.0	197.946341	101.229958	19773.0	FR	25.0	51.0	77.0	103.0	127.0	165.0	213.0	263.0	313.0	421.0	573.0			
43051_44931_SO1_NC1_L5_1_val_1_FR	43051_44931_SO1_NC1_L5_1_val_1	201.0	130.0	67.0	30.0	500.0	212.568916	101.891129	41217.0	FR	27.0	53.0	79.0	107.0	135.0	163.0	209.0	269.0	325.0	417.0	553.0			
43051_45068_EO1_NC8_M5_1_val_1_FR	43051_45068_EO1_NC8_M5_1_val_1	164.0	130.0	54.0	30.0	499.0	183.438286	94.960242	4691.0	FR	23.0	43.0	65.0	83.0	109.0	145.0	183.0	233.0	313.0	425.0	591.0			
43051_45068_EO2_NC8_N5_1_val_1_FR	43051_45068_EO2_NC8_N5_1_val_1	139.0	150.0	73.0	46.0	444.0	145.333333	126.505929	9.0	FR	1.0	23.0	23.0	139.0	147.0	179.0	185.0	187.0	611.0	611.0	611.0			
43051_45068_EO3_NC8_O5_1_val_1_FR	43051_45068_EO3_NC8_O5_1_val_1	184.0	130.0	59.0	30.0	500.0	198.234101	98.331058	8381.0	FR	25.0	49.0	75.0	99.0	119.0	155.0	203.0	257.0	309.0	407.0	563.0			
44218_44676_PO1_NC4_M6_1_val_1_FR	44218_44676_PO1_NC4_M6_1_val_1	193.0	130.0	63.0	30.0	500.0	212.630133	99.871768	10520.0	FR	25.0	51.0	75.0	101.0	127.0	149.0	189.0	247.0	337.0	441.0	579.0			
44218_44676_SO1_NC1_J6_1_val_1_FR	44218_44676_SO1_NC1_J6_1_val_1	179.0	30.0	63.0	30.0	496.0	185.844916	96.024895	4288.0	FR	25.0	49.0	73.0	99.0	127.0	165.0	211.0	255.0	295.0	365.0	547.0			
44218_44676_SO2_NC1_K6_1_val_1_FR	44218_44676_SO2_NC1_K6_1_val_1	193.5	130.0	63.5	30.0	500.0	208.25278	101.323796	8632.0	FR	27.0	53.0	79.0	105.0	127.0	163.0	207.0	261.0	325.0	423.0	571.0			
44218_44676_SO3_NC1_L6_1_val_1_FR	44218_44676_SO3_NC1_L6_1_val_1	157.0	130.0	57.0	30.0	499.0	168.451851	88.100866	7186.0	FR	21.0	41.0	59.0	85.0	115.0	147.0	183.0	215.0	263.0	355.0	549.0			
44564_44991_PO1_NC3_H6_1_val_1_FR	44564_44991_PO1_NC3_H6_1_val_1	195.0	130.0	62.0	30.0	500.0	204.949059	95.731116	38574.0	FR	25.0	47.0	73.0	97.0	125.0	151.0	195.0	249.0	305.0	387.0	541.0			
44564_44991_SO1_NC1_E6_1_val_1_FR	44564_44991_SO1_NC1_E6_1_val_1	210.0	130.0	66.0	30.0	500.0	225.551266	99.86138	4896.0	FR	27.0	51.0	79.0	105.0	133.0	161.0	201.0	255.0	331.0	421.0	541.0			
44564_44991_SO2_NC1_F6_1_val_1_FR	44564_44991_SO2_NC1_F6_1_val_1	196.0	130.0	63.0	30.0	500.0	212.821966	98.819055	9105.0	FR	25.0	49.0	75.0	99.0	127.0	151.0	193.0	247.0	327.0	433.0	567.0			
44564_44991_SO3_NC1_G6_1_val_1_FR	44564_44991_SO3_NC1_G6_1_val_1	182.0	130.0	63.0	30.0	500.0	204.708754	103.394735	1188.0	FR	25.0	51.0	75.0	103.0	127.0	163.0	203.0	259.0	353.0	461.0	609.0			
44994_45005_PO1_NC3_B6_1_val_1_FR	44994_45005_PO1_NC3_B6_1_val_1	204.0	130.0	69.0	30.0	500.0	220.04006	105.403892	3994.0	FR	29.0	57.0	81.0	109.0	139.0	173.0	227.0	285.0	345.0	435.0	553.0			
44994_45005_PO2_NC3_C5_1_val_1_FR	44994_45005_PO2_NC3_C5_1_val_1	197.0	130.0	67.0	30.0	500.0	211.129554	102.148183	15345.0	FR	27.0	53.0	79.0	105.0	135.0	167.0	213.0	267.0	333.0	427.0	555.0			
44994_45005_SO1_NC1_P5_1_val_1_FR	44994_45005_SO1_NC1_P5_1_val_1	148.0	30.0	65.0	30.0	500.0	163.834372	99.604856	1926.0	FR	23.0	39.0	65.0	95.0	131.0	167.0	195.0	215.0	313.0	447.0	627.0			
44994_45005_SO2_NC1_A6_1_val_1_FR	44994_45005_SO2_NC1_A6_1_val_1	201.0	130.0	64.0	30.0	500.0	215.895687	100.973986	6538.0	FR	25.0	49.0	75.0	101.0	129.0	159.0	207.0	261.0	333.0	427.0	555.0			
44994_45005_SO3_NC1_D6_1_val_1_FR	44994_45005_SO3_NC1_D6_1_val_1	217.0	130.0	69.0	30.0	500.0	230.533886	102.46644	11214.0	FR	29.0	55.0	81.0	111.0	139.0	171.0	213.0	267.0	341.0	419.0	531.0			
45208_44650_PO1_NC5_A7_1_val_1_FR	45208_44650_PO1_NC5_A7_1_val_1	213.0	130.0	71.0	30.0	500.0	224.567031	105.280394	4483.0	FR	29.0	53.0	81.0	111.0	143.0	169.0	221.0	283.0	345.0	423.0	545.0			
45208_44650_PO2_NC3_B7_1_val_1_FR	45208_44650_PO2_NC3_B7_1_val_1	199.0	130.0	68.0	30.0	500.0	210.464458	103.616358	3531.0	FR	27.0	57.0	83.0	109.0	137.0	171.0	221.0	275.0	331.0	419.0	557.0			
45208_44650_PO3_NC5_C8_1_val_1_FR	45208_44650_PO3_NC5_C8_1_val_1	210.0	130.0	70.0	30.0	500.0	221.649047	103.2756	40125.0	FR	27.0	53.0	81.0	111.0	141.0	167.0	213.0	271.0	337.0	421.0	543.0			
45208_44650_SO1_NC1_N6_1_val_1_FR	45208_44650_SO1_NC1_N6_1_val_1	180.0	130.0	59.0	30.0	500.0	195.559954	98.239401	34001.0	FR	25.0	49.0	73.0	97.0	119.0	153.0	199.0	251.0	307.0	421.0	583.0			
45208_44650_SO2_NC1_O6_1_val_1_FR	45208_44650_SO2_NC1_O6_1_val_1	192.0	130.0	64.0	30.0	500.0	203.891584	101.076353	14472.0	FR	27.0	53.0	79.0	107.0	129.0	165.0	211.0	269.0	323.0	407.0	559.0			
45208_44650_SO3_NC1_P6_1_val_1_FR	45208_44650_SO3_NC1_P6_1_val_1	175.0	30.0	69.0	30.0	492.0	180.755332	99.63415	797.0	FR	23.0	47.0	79.0	99.0	139.0	181.0	219.0	255.0	291.0	393.0	551.0			
45208_45054_BL1_NC16_I7_1_val_1_FR	45208_45054_BL1_NC16_I7_1_val_1	202.0	130.0	69.0	30.0	500.0	216.567004	103.738439	3455.0	FR	25.0	51.0	77.0	109.0	139.0	163.0	207.0	265.0	339.0	443.0	565.0			
45208_45054_BL2_NC16_J7_1_val_1_FR	45208_45054_BL2_NC16_J7_1_val_1	186.0	30.0	68.0	30.0	500.0	190.185089	101.890991	21206.0	FR	27.0	53.0	79.0	107.0	137.0	183.0	233.0	273.0	309.0	385.0	547.0			
45208_45054_BL3_NC16_K7_1_val_1_FR	45208_45054_BL3_NC16_K7_1_val_1	181.0	130.0	56.0	30.0	500.0	191.083121	93.051922	27033.0	FR	23.0	45.0	69.0	93.0	113.0	149.0	191.0	241.0	287.0	375.0	549.0			
45208_45054_BL4_NC16_L7_1_val_1_FR	45208_45054_BL4_NC16_L7_1_val_1	168.0	130.0	69.0	30.0	500.0	178.801303	99.799093	23488.0	FR	27.0	51.0	75.0	103.0	139.0	179.0	217.0	245.0	293.0	399.0	585.0			
45208_45054_BL5_NC16_M7_1_val_1_FR	45208_45054_BL5_NC16_M7_1_val_1	160.0	30.0	76.0	30.0	500.0	170.537711	101.824865	15990.0	FR	29.0	55.0	81.0	117.0	153.0	191.0	219.0	235.0	297.0	407.0	595.0			
