Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
45982_45001_SO1_NC1_B9_1_val_1_FR	45982_45001_SO1_NC1_B9_1_val_1	208.0	30.0	68.0	30.0	500.0	215.468944	105.721659	21864.0	FR	25.0	49.0	75.0	105.0	137.0	175.0	233.0	295.0	339.0	409.0	539.0			
45982_45001_SO2_NC1_C10_1_val_1_FR	45982_45001_SO2_NC1_C10_1_val_1	218.0	130.0	67.0	30.0	500.0	226.967524	100.774856	6374.0	FR	27.0	51.0	79.0	105.0	135.0	169.0	203.0	261.0	339.0	405.0	531.0			
45982_45001_SO3_NC1_D9_1_val_1_FR	45982_45001_SO3_NC1_D9_1_val_1	222.0	130.0	70.0	30.0	500.0	229.873978	102.785303	7951.0	FR	25.0	51.0	79.0	109.0	141.0	177.0	213.0	273.0	349.0	397.0	519.0			
46363_44664_PO1_NC5_L9_1_val_1_FR	46363_44664_PO1_NC5_L9_1_val_1	185.0	30.0	62.0	30.0	500.0	189.814063	98.192977	9557.0	FR	23.0	47.0	73.0	99.0	125.0	167.0	217.0	265.0	305.0	377.0	545.0			
46363_44664_SO1_NC1_I9_1_val_1_FR	46363_44664_SO1_NC1_I9_1_val_1	187.0	30.0	66.0	30.0	500.0	192.103864	101.524602	69764.0	FR	25.0	51.0	77.0	105.0	133.0	177.0	227.0	273.0	313.0	387.0	559.0			
46363_44664_SO2_NC1_J9_1_val_1_FR	46363_44664_SO2_NC1_J9_1_val_1	168.0	30.0	78.0	30.0	500.0	176.647827	105.697218	9802.0	FR	29.0	57.0	81.0	115.0	157.0	199.0	233.0	251.0	309.0	419.0	587.0			
46363_44664_SO3_NC1_K9_1_val_1_FR	46363_44664_SO3_NC1_K9_1_val_1	180.0	130.0	62.0	30.0	500.0	195.804054	99.817697	15443.0	FR	25.0	51.0	75.0	101.0	125.0	161.0	201.0	253.0	317.0	427.0	585.0			
46363_44914_PO1_NC4_H9_1_val_1_FR	46363_44914_PO1_NC4_H9_1_val_1	200.0	130.0	68.0	30.0	500.0	209.151862	102.841297	18102.0	FR	25.0	51.0	77.0	105.0	137.0	169.0	215.0	275.0	333.0	411.0	555.0			
46363_44914_SO1_NC1_F9_1_val_1_FR	46363_44914_SO1_NC1_F9_1_val_1	198.0	30.0	78.0	30.0	500.0	205.414647	114.345359	18939.0	FR	31.0	59.0	91.0	125.0	157.0	207.0	261.0	303.0	343.0	455.0	575.0			
46363_44914_SO2_NC1_G9_1_val_1_FR	46363_44914_SO2_NC1_G9_1_val_1	198.0	130.0	61.0	30.0	500.0	206.363282	95.77608	35917.0	FR	23.0	47.0	71.0	95.0	123.0	151.0	195.0	253.0	309.0	381.0	543.0			
46363_44914_SO3_NC1_I6_1_val_1_FR	46363_44914_SO3_NC1_I6_1_val_1	193.0	130.0	63.0	30.0	500.0	209.943166	98.871073	9994.0	FR	27.0	49.0	75.0	101.0	127.0	153.0	193.0	245.0	325.0	431.0	571.0			
46606_44938_PO1_NC4_P9_1_val_1_FR	46606_44938_PO1_NC4_P9_1_val_1	196.0	130.0	67.0	30.0	500.0	210.993283	103.15457	10719.0	FR	27.0	53.0	81.0	111.0	135.0	167.0	209.0	263.0	333.0	435.0	565.0			
46606_44938_PO2_NC3_A10_1_val_1_FR	46606_44938_PO2_NC3_A10_1_val_1	214.0	130.0	67.0	30.0	500.0	226.405326	101.685994	14645.0	FR	25.0	49.0	77.0	105.0	135.0	167.0	207.0	265.0	341.0	417.0	541.0			
46606_44938_PO3_NC5_B10_1_val_1_FR	46606_44938_PO3_NC5_B10_1_val_1	206.0	130.0	57.0	30.0	500.0	211.547078	92.629014	17301.0	FR	21.0	43.0	65.0	87.0	115.0	145.0	185.0	245.0	315.0	355.0	513.0			
46606_44938_SO1_NC1_M9_1_val_1_FR	46606_44938_SO1_NC1_M9_1_val_1	159.0	30.0	90.0	29.0	500.0	174.317855	113.45651	28060.0	FR	35.0	61.0	101.0	141.0	181.0	211.0	229.0	257.0	355.0	477.0	633.0			
46606_44938_SO2_NC1_N9_1_val_1_FR	46606_44938_SO2_NC1_N9_1_val_1	183.0	130.0	65.0	30.0	500.0	190.911515	99.024922	9674.0	FR	25.0	51.0	77.0	103.0	131.0	167.0	213.0	259.0	305.0	395.0	561.0			
46606_44938_SO3_NC1_O9_1_val_1_FR	46606_44938_SO3_NC1_O9_1_val_1	202.0	130.0	70.0	30.0	500.0	215.311277	103.220112	9808.0	FR	27.0	53.0	81.0	111.0	141.0	167.0	211.0	267.0	341.0	427.0	555.0			
46606_44993_PO1_NC5_C9_1_val_1_FR	46606_44993_PO1_NC5_C9_1_val_1	188.0	130.0	65.0	30.0	499.0	205.651469	107.538459	1974.0	FR	29.0	57.0	83.0	111.0	131.0	169.0	219.0	271.0	357.0	473.0	587.0			
46606_44993_PO2_NC5_D10_1_val_1_FR	46606_44993_PO2_NC5_D10_1_val_1	227.0	130.0	75.0	30.0	500.0	236.933714	106.299166	20864.0	FR	29.0	57.0	87.0	117.0	151.0	187.0	223.0	283.0	359.0	415.0	521.0			
46606_44993_PO3_NC5_E10_1_val_1_FR	46606_44993_PO3_NC5_E10_1_val_1	203.0	130.0	64.0	30.0	500.0	210.683165	97.77225	20891.0	FR	25.0	47.0	71.0	99.0	129.0	155.0	201.0	259.0	319.0	387.0	535.0			
46606_44993_PO4_NC5_F10_1_val_1_FR	46606_44993_PO4_NC5_F10_1_val_1	204.0	130.0	66.0	30.0	500.0	215.162281	99.816986	50844.0	FR	25.0	49.0	75.0	103.0	133.0	159.0	203.0	259.0	323.0	411.0	543.0			
