Sample	Original top strand	Complementary to original top strand	Complementary to original bottom strand	Original bottom strand
41391_44650_SO3_NC1_D3_2_val_2_screen	1.0	7.0	7.0	0.0
41391_44923_PO1_NC3_H3_1_val_1_screen	1.0	1.0	0.0	0.0
41391_44923_PO1_NC3_H3_2_val_2_screen	1.0	11.0	12.0	4.0
41391_44923_PO2_NC3_I3_2_val_2_screen	1.0	8.0	11.0	1.0
41391_44923_PO3_NC5_J3_1_val_1_screen	0.0	0.0	3.0	0.0
41391_44923_PO3_NC5_J3_2_val_2_screen	2.0	6.0	13.0	1.0
41391_44923_PO4_NC4_K3_2_val_2_screen	0.0	13.0	11.0	5.0
41391_44923_SO1_NC1_O2_1_val_1_screen	0.0	1.0	0.0	0.0
41391_44923_SO1_NC1_O2_2_val_2_screen	1.0	4.0	8.0	1.0
41391_44923_SO2_NC1_P2_2_val_2_screen	0.0	2.0	8.0	0.0
41391_44923_SO3_NC1_A3_2_val_2_screen	0.0	5.0	3.0	1.0
41460_44643_PO1_NC5_O3_1_val_1_screen	1.0	0.0	0.0	0.0
41460_44643_PO1_NC5_O3_2_val_2_screen	1.0	10.0	9.0	1.0
41460_44643_PO2_NC5_P3_1_val_1_screen	0.0	0.0	0.0	1.0
41460_44643_PO2_NC5_P3_2_val_2_screen	1.0	17.0	7.0	4.0
41460_44643_PO3_NC5_A4_2_val_2_screen	0.0	3.0	7.0	4.0
41460_44643_SO1_NC1_L3_1_val_1_screen	0.0	0.0	0.0	1.0
41460_44643_SO1_NC1_L3_2_val_2_screen	0.0	10.0	11.0	2.0
41460_44643_SO2_NC1_M3_1_val_1_screen	0.0	0.0	0.0	1.0
41460_44643_SO2_NC1_M3_2_val_2_screen	4.0	11.0	12.0	1.0
41460_44643_SO3_NC1_N3_2_val_2_screen	1.0	9.0	10.0	2.0
41460_45001_PO1_NC5_E4_2_val_2_screen	1.0	7.0	8.0	1.0
41460_45001_PO2_NC3_F4_1_val_1_screen	0.0	0.0	1.0	0.0
41460_45001_PO2_NC3_F4_2_val_2_screen	1.0	5.0	7.0	2.0
41460_45001_PO3_NC4_G4_1_val_1_screen	0.0	1.0	0.0	0.0
41460_45001_PO3_NC4_G4_2_val_2_screen	0.0	2.0	5.0	3.0
41460_45001_SO1_NC1_B4_2_val_2_screen	0.0	8.0	5.0	1.0
41460_45001_SO2_NC1_C3_1_val_1_screen	0.0	0.0	1.0	0.0
41460_45001_SO2_NC1_C3_2_val_2_screen	0.0	3.0	10.0	5.0
41460_45001_SO3_NC1_D4_1_val_1_screen	2.0	0.0	15.0	0.0
41460_45001_SO3_NC1_D4_2_val_2_screen	1.0	18.0	5.0	5.0
42111_44957_PO1_NC3_K4_2_val_2_screen	1.0	8.0	12.0	2.0
42111_44957_PO2_NC3_L4_2_val_2_screen	2.0	6.0	12.0	3.0
42111_44957_SO1_NC1_H4_2_val_2_screen	1.0	9.0	5.0	5.0
42111_44957_SO2_NC1_B5_2_val_2_screen	1.0	5.0	1.0	1.0
42111_44957_SO3_NC1_J4_1_val_1_screen	0.0	0.0	5.0	0.0
42111_44957_SO3_NC1_J4_2_val_2_screen	1.0	13.0	4.0	2.0
42111_45019_EOo_NC8_M4_1_val_1_screen	1.0	1.0	0.0	0.0
42111_45019_EOo_NC8_M4_2_val_2_screen	1.0	12.0	13.0	4.0
42473_44998_PO1_NC2_I4_2_val_2_screen	1.0	9.0	11.0	4.0
42473_44998_SO1_NC1_P4_1_val_1_screen	0.0	0.0	1.0	1.0
42473_44998_SO1_NC1_P4_2_val_2_screen	4.0	26.0	17.0	4.0
42473_44998_SO2_NC1_A5_2_val_2_screen	2.0	3.0	6.0	1.0
42473_45061_EO1_NC8_O4_1_val_1_screen	27.0	0.0	31.0	0.0
42473_45061_EO1_NC8_O4_2_val_2_screen	3.0	52.0	14.0	3.0
42651_45042_PO1_NC3_E5_2_val_2_screen	2.0	5.0	5.0	0.0
42651_45042_PO2_NC4_N4_2_val_2_screen	1.0	8.0	14.0	1.0
42651_45042_PO3_NC4_G5_2_val_2_screen	4.0	8.0	10.0	1.0
42651_45042_SO1_NC1_C6_2_val_2_screen	2.0	10.0	15.0	4.0
42651_45042_SO2_NC1_D5_2_val_2_screen	1.0	3.0	11.0	2.0
42651_45042_SO3_NC1_F5_2_val_2_screen	1.0	5.0	5.0	0.0
43028_44664_PO2_NC5_K5_2_val_2_screen	1.0	6.0	7.0	2.0
43028_44664_SO1_NC1_H5_1_val_1_screen	1.0	1.0	0.0	0.0
43028_44664_SO1_NC1_H5_2_val_2_screen	0.0	4.0	3.0	0.0
43028_44664_SO2_NC1_I5_2_val_2_screen	0.0	6.0	4.0	0.0
43028_44664_SO3_NC1_J5_2_val_2_screen	1.0	7.0	6.0	2.0
43051_44931_SO1_NC1_L5_2_val_2_screen	0.0	4.0	4.0	2.0
43051_45068_EO1_NC8_M5_2_val_2_screen	0.0	10.0	13.0	2.0
43051_45068_EO2_NC8_N5_2_val_2_screen	1.0	0.0	2.0	1.0
43051_45068_EO3_NC8_O5_2_val_2_screen	1.0	6.0	7.0	3.0
44218_44676_PO1_NC4_M6_1_val_1_screen	1.0	0.0	84.0	1.0
44218_44676_PO1_NC4_M6_2_val_2_screen	1.0	78.0	17.0	4.0
44218_44676_SO1_NC1_J6_2_val_2_screen	1.0	2.0	4.0	1.0
44218_44676_SO2_NC1_K6_2_val_2_screen	0.0	3.0	7.0	1.0
44218_44676_SO3_NC1_L6_2_val_2_screen	3.0	3.0	13.0	2.0
44564_44991_PO1_NC3_H6_2_val_2_screen	0.0	2.0	5.0	1.0
44564_44991_SO1_NC1_E6_1_val_1_screen	1.0	0.0	0.0	0.0
44564_44991_SO1_NC1_E6_2_val_2_screen	0.0	7.0	3.0	0.0
44564_44991_SO2_NC1_F6_1_val_1_screen	0.0	0.0	3.0	0.0
44564_44991_SO2_NC1_F6_2_val_2_screen	0.0	6.0	6.0	0.0
44564_44991_SO3_NC1_G6_2_val_2_screen	2.0	5.0	9.0	1.0
44994_45005_PO1_NC3_B6_2_val_2_screen	1.0	2.0	1.0	0.0
44994_45005_PO2_NC3_C5_2_val_2_screen	1.0	2.0	9.0	1.0
44994_45005_SO1_NC1_P5_1_val_1_screen	1.0	0.0	0.0	0.0
44994_45005_SO1_NC1_P5_2_val_2_screen	4.0	6.0	8.0	0.0
44994_45005_SO2_NC1_A6_2_val_2_screen	2.0	3.0	7.0	3.0
44994_45005_SO3_NC1_D6_1_val_1_screen	0.0	1.0	0.0	0.0
44994_45005_SO3_NC1_D6_2_val_2_screen	2.0	4.0	5.0	0.0
45208_44650_PO1_NC5_A7_2_val_2_screen	2.0	1.0	9.0	2.0
45208_44650_PO2_NC3_B7_2_val_2_screen	2.0	6.0	4.0	0.0
45208_44650_PO3_NC5_C8_2_val_2_screen	0.0	5.0	6.0	2.0
45208_44650_SO1_NC1_N6_2_val_2_screen	0.0	8.0	8.0	0.0
45208_44650_SO2_NC1_O6_2_val_2_screen	0.0	2.0	5.0	0.0
45208_44650_SO3_NC1_P6_2_val_2_screen	1.0	6.0	8.0	3.0
45208_45054_BL1_NC16_I7_1_val_1_screen	30.0	1.0	31.0	0.0
45208_45054_BL1_NC16_I7_2_val_2_screen	5.0	57.0	12.0	8.0
45208_45054_BL2_NC16_J7_2_val_2_screen	3.0	4.0	13.0	2.0
45208_45054_BL3_NC16_K7_2_val_2_screen	1.0	5.0	4.0	1.0
45208_45054_BL4_NC16_L7_1_val_1_screen	2.0	0.0	0.0	0.0
45208_45054_BL4_NC16_L7_2_val_2_screen	2.0	4.0	5.0	1.0
45208_45054_BL5_NC16_M7_1_val_1_screen	0.0	0.0	4.0	0.0
45208_45054_BL5_NC16_M7_2_val_2_screen	3.0	5.0	12.0	1.0
45208_45054_BL6_NC16_N7_2_val_2_screen	0.0	5.0	6.0	0.0
45208_45054_EO1_NC8_D7_2_val_2_screen	2.0	4.0	8.0	0.0
45208_45054_EO2_NC8_E7_1_val_1_screen	0.0	1.0	0.0	0.0
45208_45054_EO2_NC8_E7_2_val_2_screen	2.0	5.0	7.0	2.0
45208_45054_EO3_NC8_F7_2_val_2_screen	1.0	2.0	4.0	0.0
45208_45054_EO4_NC8_G7_2_val_2_screen	2.0	5.0	7.0	2.0
45208_45054_EO5_NC8_H7_1_val_1_screen	0.0	1.0	0.0	0.0
45208_45054_EO5_NC8_H7_2_val_2_screen	2.0	6.0	10.0	2.0
45669_44700_PO1_NC5_O8_2_val_2_screen	4.0	6.0	5.0	1.0
45669_44700_PO2_NC5_P8_2_val_2_screen	1.0	7.0	5.0	0.0
45669_44700_PO3_NC4_A9_2_val_2_screen	3.0	3.0	1.0	2.0
45669_44700_SO1_NC1_L8_2_val_2_screen	1.0	8.0	11.0	2.0
45669_44700_SO2_NC1_M8_2_val_2_screen	0.0	1.0	8.0	1.0
45669_44700_SO3_NC1_N8_2_val_2_screen	4.0	7.0	10.0	3.0
45669_44964_PO1_NC4_B8_2_val_2_screen	2.0	5.0	11.0	1.0
45669_44964_PO2_NC4_C7_2_val_2_screen	2.0	2.0	6.0	2.0
45669_44964_PO3_NC3_D8_2_val_2_screen	0.0	5.0	13.0	1.0
45669_44964_PO4_NC3_E8_2_val_2_screen	0.0	6.0	7.0	0.0
45669_44964_SO1_NC1_O7_2_val_2_screen	1.0	4.0	3.0	1.0
45669_44964_SO2_NC1_P7_2_val_2_screen	4.0	4.0	12.0	2.0
45669_44964_SO3_NC1_A8_1_val_1_screen	1.0	0.0	0.0	0.0
45669_44964_SO3_NC1_A8_2_val_2_screen	1.0	5.0	8.0	1.0
45982_44908_PO1_NC3_J8_1_val_1_screen	0.0	0.0	0.0	1.0
45982_44908_PO1_NC3_J8_2_val_2_screen	2.0	5.0	7.0	1.0
45982_44908_PO2_NC4_K8_2_val_2_screen	2.0	5.0	5.0	4.0
45982_44908_SO1_NC1_G8_2_val_2_screen	3.0	5.0	7.0	2.0
45982_44908_SO2_NC1_H8_2_val_2_screen	2.0	8.0	8.0	2.0
45982_44908_SO3_NC1_I8_2_val_2_screen	1.0	7.0	14.0	2.0
45982_45001_PO1_NC3_E9_2_val_2_screen	1.0	7.0	8.0	3.0
45982_45001_PO2_NC4_F8_1_val_1_screen	0.0	0.0	5.0	0.0
45982_45001_PO2_NC4_F8_2_val_2_screen	0.0	11.0	3.0	3.0
45982_45001_SO1_NC1_B9_2_val_2_screen	0.0	6.0	6.0	0.0
45982_45001_SO2_NC1_C10_2_val_2_screen	3.0	6.0	9.0	1.0
45982_45001_SO3_NC1_D9_2_val_2_screen	3.0	8.0	5.0	6.0
46363_44664_PO1_NC5_L9_1_val_1_screen	1.0	1.0	0.0	0.0
46363_44664_PO1_NC5_L9_2_val_2_screen	2.0	8.0	5.0	2.0
46363_44664_SO1_NC1_I9_2_val_2_screen	0.0	2.0	8.0	0.0
46363_44664_SO2_NC1_J9_2_val_2_screen	1.0	7.0	14.0	0.0
46363_44664_SO3_NC1_K9_2_val_2_screen	3.0	6.0	12.0	2.0
46363_44914_PO1_NC4_H9_2_val_2_screen	1.0	5.0	8.0	3.0
46363_44914_SO1_NC1_F9_2_val_2_screen	3.0	8.0	4.0	0.0
46363_44914_SO2_NC1_G9_2_val_2_screen	5.0	10.0	6.0	3.0
46363_44914_SO3_NC1_I6_1_val_1_screen	0.0	1.0	1.0	0.0
46363_44914_SO3_NC1_I6_2_val_2_screen	1.0	9.0	10.0	2.0
46606_44938_PO1_NC4_P9_1_val_1_screen	0.0	19.0	0.0	0.0
46606_44938_PO1_NC4_P9_2_val_2_screen	2.0	6.0	26.0	2.0
46606_44938_PO2_NC3_A10_1_val_1_screen	0.0	0.0	1.0	0.0
46606_44938_PO2_NC3_A10_2_val_2_screen	0.0	11.0	9.0	4.0
46606_44938_PO3_NC5_B10_2_val_2_screen	1.0	8.0	10.0	3.0
46606_44938_SO1_NC1_M9_2_val_2_screen	2.0	4.0	3.0	2.0
46606_44938_SO2_NC1_N9_2_val_2_screen	2.0	5.0	10.0	3.0
46606_44938_SO3_NC1_O9_2_val_2_screen	2.0	5.0	6.0	2.0
46606_44993_PO1_NC5_C9_2_val_2_screen	3.0	15.0	13.0	2.0
46606_44993_PO2_NC5_D10_2_val_2_screen	0.0	5.0	11.0	2.0
46606_44993_PO3_NC5_E10_1_val_1_screen	1.0	0.0	0.0	0.0
46606_44993_PO3_NC5_E10_2_val_2_screen	0.0	6.0	11.0	2.0
46606_44993_PO4_NC5_F10_2_val_2_screen	2.0	5.0	8.0	1.0
